date,blast_id,powder_factor_kgpt,fragment_pass_rate_pct,rock_hardness_f,hole_count,blast_tonnage_wt,boulder_rate_pct
2023-01-25,BL-0001,0.774,95.6,11.1,170,18.78,3.7
2023-02-25,BL-0002,0.927,93.7,15.7,176,17.84,8.4
2023-03-29,BL-0003,0.722,93.8,10.3,162,10.5,5.9
2023-04-12,BL-0004,0.631,90.9,10.0,209,14.68,9.8
2023-04-15,BL-0005,0.819,94.1,13.6,185,12.02,5.0
2023-04-17,BL-0006,0.772,95.5,11.4,109,6.63,5.8
2023-05-08,BL-0007,1.054,91.8,18.0,190,16.38,10.7
2023-05-18,BL-0008,0.674,92.6,10.0,64,13.18,6.5
2023-05-20,BL-0009,0.73,94.3,12.1,172,13.95,6.3
2023-05-23,BL-0010,0.974,95.1,16.0,200,17.78,3.7
2023-05-25,BL-0011,0.954,94.2,14.8,138,21.8,5.5
2023-06-05,BL-0012,0.65,93.3,8.4,110,18.55,6.5
2023-06-06,BL-0013,0.783,95.6,12.5,82,12.93,2.9
2023-06-17,BL-0014,1.062,89.8,18.0,152,20.67,10.8
2023-06-26,BL-0015,1.045,92.9,18.0,219,6.37,6.0
2023-07-18,BL-0016,1.018,94.9,18.0,165,18.83,5.0
2023-07-21,BL-0017,1.047,92.6,18.0,177,17.0,9.4
2023-07-25,BL-0018,0.694,95.9,10.3,157,18.48,4.6
2023-08-16,BL-0019,0.714,92.4,12.1,153,9.55,8.0
2023-08-21,BL-0020,0.795,94.5,13.0,176,16.98,6.0
2023-08-24,BL-0021,0.883,94.1,12.2,216,6.92,6.8
2023-08-30,BL-0022,0.718,93.0,13.1,162,13.02,7.4
2023-09-01,BL-0023,0.77,96.0,13.6,123,6.64,2.0
2023-09-14,BL-0024,0.702,95.7,10.2,181,20.39,4.3
2023-09-26,BL-0025,0.679,89.8,11.6,194,14.05,10.4
2023-10-11,BL-0026,0.973,91.9,16.9,177,14.38,7.0
2023-10-14,BL-0027,1.058,91.1,18.0,160,12.51,8.2
2023-10-23,BL-0028,0.805,96.1,14.8,164,13.03,3.3
2023-10-25,BL-0029,0.851,93.3,14.9,215,12.64,6.6
2023-10-29,BL-0030,0.866,95.0,14.7,79,9.2,5.3
2023-10-30,BL-0031,0.594,88.1,7.7,205,17.58,9.8
2023-11-02,BL-0032,0.93,92.9,16.5,75,8.65,7.1
2023-11-16,BL-0033,0.755,93.4,11.9,177,13.29,7.8
2023-12-04,BL-0034,0.72,95.4,8.5,140,18.65,4.3
2023-12-06,BL-0035,0.974,92.4,17.6,108,16.13,6.7
2023-12-08,BL-0036,0.86,96.5,15.8,159,15.82,2.7
2023-12-18,BL-0037,0.822,96.1,14.2,144,7.78,3.4
2024-01-06,BL-0038,0.834,91.3,13.6,80,16.42,8.6
2024-01-15,BL-0039,0.992,94.7,18.0,190,15.62,6.7
2024-01-22,BL-0040,0.761,91.8,13.9,68,19.41,9.3
2024-01-24,BL-0041,0.83,92.9,15.7,107,8.03,6.6
2024-02-22,BL-0042,0.895,94.4,17.6,198,16.44,6.1
2024-02-25,BL-0043,0.92,92.0,17.2,175,17.85,8.1
2024-02-26,BL-0044,0.967,91.8,15.9,87,10.96,8.7
2024-03-25,BL-0045,0.751,94.5,10.4,85,13.07,5.8
2024-03-26,BL-0046,0.693,94.3,9.7,109,20.85,6.7
2024-03-28,BL-0047,0.784,91.8,12.7,91,18.18,6.8
2024-03-28,BL-0048,0.825,92.5,13.3,121,7.48,5.9
2024-05-04,BL-0049,1.037,88.8,18.0,176,16.05,11.1
2024-05-08,BL-0050,0.629,92.2,8.5,212,21.54,7.3
2024-06-02,BL-0051,0.831,93.2,13.6,94,18.94,6.3
2024-06-19,BL-0052,0.856,94.3,15.2,212,7.21,6.4
2024-07-11,BL-0053,0.865,94.6,14.4,115,15.62,6.6
2024-07-21,BL-0054,1.06,91.9,18.0,102,21.42,7.2
2024-07-29,BL-0055,0.775,92.2,9.8,79,15.87,8.1
2024-08-05,BL-0056,0.918,93.2,15.8,116,8.38,5.8
2024-09-04,BL-0057,0.82,96.9,12.5,179,13.66,2.2
2024-09-10,BL-0058,1.073,89.1,18.0,191,12.72,12.9
2024-09-21,BL-0059,0.451,88.6,5.8,105,7.67,12.2
2024-10-06,BL-0060,0.783,94.2,14.0,92,9.7,5.3
2024-10-16,BL-0061,0.802,93.5,12.2,97,7.34,6.9
2024-11-13,BL-0062,0.776,94.5,11.8,200,8.65,5.6
2024-11-17,BL-0063,0.832,95.2,13.5,127,12.79,5.7
2024-11-23,BL-0064,0.791,93.5,11.4,209,9.76,6.3
2024-11-24,BL-0065,1.123,85.7,18.0,68,7.4,15.4
2024-12-02,BL-0066,0.702,91.9,12.4,80,16.25,7.4
2024-12-14,BL-0067,0.879,94.6,15.8,167,20.05,5.6
2024-12-17,BL-0068,0.855,93.5,15.4,65,14.28,8.0
2024-12-18,BL-0069,0.767,98.0,13.7,160,15.74,2.5
2024-12-26,BL-0070,1.079,89.8,18.0,143,10.62,10.5
2025-01-05,BL-0071,0.849,94.0,13.8,169,7.81,3.7
2025-01-13,BL-0072,0.682,90.0,10.6,124,15.87,11.7
2025-01-28,BL-0073,1.159,83.6,18.0,126,20.19,15.4
2025-02-03,BL-0074,0.916,94.6,18.0,187,12.94,5.6
2025-02-04,BL-0075,0.948,94.4,16.0,177,20.38,7.2
2025-02-05,BL-0076,0.73,93.9,11.7,190,15.01,5.6
2025-02-17,BL-0077,0.7,93.8,11.3,164,17.01,6.3
2025-02-22,BL-0078,0.815,95.0,12.9,167,8.86,5.7
2025-03-04,BL-0079,0.791,92.9,13.3,178,20.53,6.8
2025-03-11,BL-0080,0.9,91.6,15.7,164,13.22,8.1
2025-03-26,BL-0081,0.859,92.4,15.4,119,17.93,8.8
2025-03-31,BL-0082,1.066,90.2,18.0,156,6.9,11.8
2025-04-12,BL-0083,0.787,93.4,15.0,116,17.74,6.0
2025-04-23,BL-0084,0.796,93.5,10.9,158,20.63,5.3
2025-04-27,BL-0085,0.907,94.5,17.2,122,10.61,6.4
2025-05-15,BL-0086,0.821,95.0,13.3,183,11.56,4.2
2025-05-19,BL-0087,1.001,92.1,18.0,176,19.67,7.0
2025-06-06,BL-0088,0.748,93.2,10.1,147,11.94,6.4
2025-06-08,BL-0089,0.891,90.7,15.1,204,9.15,11.8
2025-06-18,BL-0090,0.828,96.3,14.5,61,17.58,5.5
2025-06-19,BL-0091,0.885,94.6,15.0,112,11.88,4.5
2025-06-21,BL-0092,0.728,92.3,10.9,188,16.12,6.6
2025-06-22,BL-0094,0.878,92.4,14.3,126,20.48,7.6
2025-06-22,BL-0093,0.718,94.0,11.1,182,8.09,6.2
2025-06-25,BL-0095,0.712,92.3,12.6,138,11.37,6.8
2025-06-26,BL-0096,0.887,95.9,13.3,71,19.71,2.3
2025-06-27,BL-0097,1.043,91.7,18.0,182,9.28,8.8
2025-06-28,BL-0098,0.907,93.4,13.6,195,14.53,5.1
2025-07-03,BL-0099,0.818,91.5,12.1,197,18.2,7.5
2025-07-09,BL-0100,0.729,93.2,10.0,92,21.2,6.3
2025-07-26,BL-0101,0.71,92.9,12.5,91,15.64,7.5
2025-07-27,BL-0102,0.74,95.7,10.3,151,13.75,4.7
2025-08-29,BL-0103,0.819,96.3,15.2,179,7.66,3.3
2025-09-02,BL-0104,1.008,93.3,17.5,199,20.83,6.2
2025-09-03,BL-0105,0.821,92.4,11.6,123,16.85,8.2
2025-09-05,BL-0106,0.731,93.9,11.0,146,6.61,5.9
2025-09-15,BL-0107,0.794,93.3,12.3,77,10.78,7.0
2025-09-17,BL-0108,0.878,93.3,15.9,209,6.15,6.7
2025-09-18,BL-0109,0.824,94.3,15.4,92,18.15,4.4
2025-10-01,BL-0110,0.857,95.5,15.1,88,12.83,6.0
2025-10-04,BL-0111,0.588,89.5,5.4,150,9.18,10.2
2025-10-24,BL-0112,1.03,89.2,17.4,148,16.72,9.0
2025-11-13,BL-0114,0.773,95.4,13.3,211,6.25,5.7
2025-11-13,BL-0113,0.739,94.2,10.2,174,17.18,5.0
2025-11-14,BL-0115,0.754,95.4,13.3,114,20.36,6.1
2025-11-19,BL-0116,0.767,94.8,13.6,215,14.77,5.4
2025-11-24,BL-0117,0.804,94.8,12.6,178,11.92,5.7
2025-11-26,BL-0118,0.662,90.4,10.1,94,19.72,11.6
2025-11-29,BL-0119,0.733,94.4,10.3,110,17.16,5.2
2025-12-11,BL-0120,0.909,91.9,13.7,75,13.79,9.8
2025-12-12,BL-0121,0.803,95.5,14.3,187,18.55,4.5
2025-12-18,BL-0122,0.821,93.1,15.9,107,8.57,6.5
2025-12-21,BL-0123,0.701,93.8,10.5,121,15.53,7.4
2026-01-07,BL-0124,0.932,90.6,17.3,209,7.73,9.6
2026-01-09,BL-0125,0.636,92.3,10.2,103,15.0,8.1
2026-01-10,BL-0126,0.784,93.7,12.8,133,19.66,7.6
2026-01-16,BL-0127,0.838,93.2,14.2,101,17.83,8.2
2026-01-22,BL-0128,0.801,93.8,12.3,87,17.08,5.7
2026-01-29,BL-0129,0.833,94.5,14.3,108,10.28,5.6
2026-02-07,BL-0130,0.711,88.7,10.9,86,18.11,11.6
2026-02-12,BL-0131,0.904,95.5,16.2,118,10.9,4.3
2026-02-14,BL-0132,1.03,91.8,18.0,132,12.56,6.6
2026-02-15,BL-0133,0.803,94.4,15.3,163,17.92,3.4
2026-02-23,BL-0134,0.896,91.6,13.4,99,7.33,9.2
2026-02-24,BL-0135,0.791,95.0,12.7,89,6.49,3.6
2026-02-28,BL-0136,0.812,93.2,11.9,144,16.25,8.8
2026-03-10,BL-0137,0.915,92.1,15.4,117,18.92,9.3
2026-03-23,BL-0138,0.772,93.8,12.3,95,10.79,6.6
2026-03-24,BL-0139,0.841,92.4,13.2,162,15.93,6.4
2026-03-24,BL-0140,0.765,95.8,14.4,188,18.96,4.6
2026-04-03,BL-0141,0.627,91.8,9.1,74,9.62,7.2
2026-04-20,BL-0142,0.84,94.9,15.3,88,10.73,4.1
2026-04-25,BL-0143,0.872,92.0,16.5,206,17.12,7.1
2026-05-05,BL-0145,0.843,95.7,11.4,218,10.86,3.4
2026-05-05,BL-0144,0.786,89.5,12.3,214,8.86,11.1
2026-05-08,BL-0146,0.855,92.0,15.6,94,16.57,7.2
