month,drilling_cost,blasting_cost,loading_cost,haulage_cost,total_cost,plan_total_cost,anomaly_flag,anomaly_reason
2023-01,2.39,3.69,2.95,7.62,16.65,15.96,0,
2023-02,2.39,3.74,2.88,7.52,16.53,16.0,0,
2023-03,2.34,3.72,2.88,7.64,16.58,16.05,0,
2023-04,2.32,3.6,2.79,7.4,16.1,16.1,0,
2023-05,2.3,3.58,2.85,7.52,16.25,16.15,0,
2023-06,2.47,3.8,2.94,7.4,16.61,16.2,0,
2023-07,2.42,3.72,2.92,7.46,16.52,16.24,0,
2023-08,2.35,3.74,2.95,7.53,16.56,16.29,0,
2023-09,2.32,3.73,3.04,7.65,16.73,16.34,0,
2023-10,2.37,3.77,2.95,7.56,16.66,16.39,0,
2023-11,2.52,3.77,3.02,7.78,17.09,16.44,0,
2023-12,2.56,3.77,3.04,7.82,17.2,16.48,0,
2024-01,2.48,3.74,3.07,7.82,17.12,16.53,0,
2024-02,2.5,3.79,2.95,7.89,17.13,16.58,0,
2024-03,2.54,3.78,2.94,7.77,17.03,16.63,0,
2024-04,2.49,3.66,3.06,7.75,16.96,16.68,0,
2024-05,2.49,3.81,3.01,7.78,17.1,16.72,0,
2024-06,2.48,4.66,3.02,7.78,17.94,16.77,1,炸药单价上涨/大块二次破碎
2024-07,2.52,3.81,3.04,7.82,17.19,16.82,0,
2024-08,2.5,3.85,3.0,7.77,17.13,16.87,0,
2024-09,3.1,3.82,3.01,7.87,17.8,16.91,1,钻具损耗异常/钻头寿命下降
2024-10,2.43,3.79,3.03,7.87,17.12,16.96,0,
2024-11,2.62,3.94,3.22,7.87,17.65,17.01,0,
2024-12,2.49,3.8,3.09,8.1,17.48,17.06,0,
2025-01,2.51,3.93,3.15,8.13,17.71,17.11,0,
2025-02,2.64,4.01,3.19,8.25,18.09,17.15,0,
2025-03,2.43,3.84,3.14,8.0,17.41,17.2,0,
2025-04,2.52,4.81,3.01,8.04,18.38,17.25,1,炸药单价上涨/大块二次破碎
2025-05,2.54,3.96,3.13,8.09,17.71,17.3,0,
2025-06,2.54,3.85,3.1,8.08,17.56,17.35,0,
2025-07,2.58,3.93,3.07,8.1,17.67,17.39,0,
2025-08,2.66,4.01,3.14,8.03,17.85,17.44,0,
2025-09,2.62,3.95,3.17,8.13,17.86,17.49,0,
2025-10,2.68,3.95,3.05,8.11,17.79,17.54,0,
2025-11,2.65,4.04,3.17,8.25,18.11,17.58,0,
2025-12,2.72,4.15,3.28,8.4,18.55,17.63,0,
2026-01,2.75,4.15,3.28,8.37,18.54,17.68,0,
2026-02,2.62,4.08,3.19,8.29,18.18,17.73,0,
2026-03,2.64,4.86,3.19,8.29,18.98,17.78,1,炸药单价上涨/大块二次破碎
2026-04,2.68,4.02,3.08,8.3,18.08,17.82,0,
2026-05,2.56,3.96,3.15,8.28,17.94,17.87,0,
2026-06,2.7,4.04,3.33,8.31,18.37,17.92,0,
2026-07,3.21,4.1,3.12,8.39,18.82,17.97,1,钻具损耗异常/钻头寿命下降
2026-08,2.6,4.04,3.19,8.37,18.2,18.02,0,
2026-09,2.67,4.11,3.14,8.41,18.34,18.06,0,
