date,block_id,ore_tonnage_wt,loss_rate_pct,dilution_rate_pct,model_grade_pct,actual_grade_pct,grade_deviation_pct,anomaly_flag,anomaly_reason
2023-01-07,B0001,10.34,6.09,4.5,2.845,2.732,-0.112,0,
2023-01-10,B0002,8.43,4.33,6.02,2.883,2.665,-0.218,0,
2023-01-12,B0003,17.4,6.14,4.94,2.959,2.844,-0.114,0,
2023-01-24,B0004,8.82,5.62,4.9,3.093,2.976,-0.117,0,
2023-02-07,B0005,8.24,7.01,4.83,3.053,2.946,-0.106,0,
2023-02-12,B0006,13.05,6.66,6.18,3.033,2.769,-0.264,0,
2023-02-25,B0007,18.96,5.3,5.64,3.069,2.908,-0.161,0,
2023-03-16,B0008,16.17,5.74,5.92,3.038,2.853,-0.185,0,
2023-03-20,B0009,11.7,5.57,6.33,3.135,2.99,-0.145,0,
2023-03-22,B0010,10.23,7.06,5.84,3.085,2.859,-0.226,0,
2023-04-09,B0011,19.38,5.52,5.47,3.179,3.012,-0.168,0,
2023-04-22,B0012,13.92,10.0,4.68,3.166,3.05,-0.116,1,损失率异常：矿岩分界欠挖/底板残留
2023-04-24,B0013,11.49,5.94,5.54,3.115,2.914,-0.201,0,
2023-05-01,B0014,19.77,5.87,5.39,3.155,2.94,-0.215,0,
2023-05-04,B0015,10.42,6.42,5.32,3.143,3.017,-0.126,0,
2023-05-19,B0016,16.56,7.8,5.78,2.977,2.794,-0.183,0,
2023-06-01,B0017,8.36,5.42,6.16,3.06,2.835,-0.225,0,
2023-06-09,B0018,8.86,5.23,5.66,2.943,2.714,-0.229,0,
2023-06-15,B0019,12.57,6.1,5.58,2.942,2.799,-0.143,0,
2023-06-22,B0020,19.61,6.42,5.48,3.148,2.984,-0.164,0,
2023-07-08,B0021,16.56,6.63,6.01,3.092,2.88,-0.212,0,
2023-07-20,B0022,17.59,5.69,5.64,2.994,2.812,-0.182,0,
2023-07-27,B0023,14.84,6.07,6.2,2.95,2.726,-0.224,0,
2023-08-12,B0024,17.98,10.38,4.1,2.901,2.765,-0.136,1,损失率异常：矿岩分界欠挖/底板残留
2023-08-22,B0025,13.1,6.29,5.07,2.996,2.922,-0.074,0,
2023-08-25,B0026,11.02,6.74,5.22,3.048,2.93,-0.118,0,
2023-08-29,B0027,8.38,6.71,6.02,3.054,2.869,-0.185,0,
2023-09-04,B0028,18.4,6.69,5.09,2.895,2.707,-0.188,0,
2023-09-08,B0029,8.42,5.87,5.08,2.927,2.767,-0.16,0,
