date,ore_plan_t,waste_plan_t,total_plan_t,ore_actual_t,waste_actual_t,total_actual_t,completion_rate,stripping_ratio
2023-01-01,43595.8,108989.5,152585.2,43430.7,109620.2,153050.9,100.31,2.524
2023-01-02,43609.7,109024.2,152633.9,43933.6,112219.9,156153.5,102.31,2.554
2023-01-03,43624.2,109060.5,152684.7,42611.9,111565.6,154177.5,100.98,2.618
2023-01-04,43639.4,109098.4,152737.8,42994.9,105379.0,148373.9,97.14,2.451
2023-01-05,43655.2,109137.9,152793.1,41687.2,104623.4,146310.6,95.76,2.51
2023-01-06,43671.6,109178.9,152850.5,40663.9,104478.7,145142.6,94.96,2.569
2023-01-07,43688.6,109221.4,152910.0,45544.2,112213.0,157757.2,103.17,2.464
2023-01-08,43706.2,109265.4,152971.6,43579.8,111525.7,155105.5,101.39,2.559
2023-01-09,43724.3,109310.8,153035.2,45582.3,119184.1,164766.4,107.67,2.615
2023-01-10,43743.1,109357.6,153100.7,44719.1,112474.4,157193.5,102.67,2.515
2023-01-11,43762.3,109405.8,153168.1,43446.5,108398.3,151844.9,99.14,2.495
2023-01-12,43782.1,109455.2,153237.3,47109.5,117272.1,164381.6,107.27,2.489
2023-01-13,43802.4,109505.9,153308.3,43867.1,114170.0,158037.1,103.08,2.603
2023-01-14,43823.1,109557.8,153380.9,46620.9,117173.1,163794.0,106.79,2.513
2023-01-15,43844.3,109610.8,153455.1,45649.8,115458.1,161107.9,104.99,2.529
2023-01-16,43865.9,109664.9,153530.8,44832.9,113557.1,158390.1,103.16,2.533
2023-01-17,43888.0,109719.9,153607.9,44686.8,110544.2,155231.0,101.06,2.474
2023-01-18,43910.4,109776.0,153686.3,42272.5,110580.2,152852.6,99.46,2.616
2023-01-19,43933.1,109832.8,153766.0,42500.2,106587.8,149088.0,96.96,2.508
2023-01-20,43956.2,109890.5,153846.7,46017.6,119454.9,165472.4,107.56,2.596
2023-01-21,43979.6,109948.9,153928.4,44488.0,113500.1,157988.2,102.64,2.551
2023-01-22,44003.2,110007.9,154011.0,46716.9,116274.9,162991.8,105.83,2.489
2023-01-23,44027.0,110067.5,154094.4,45071.9,115243.3,160315.2,104.04,2.557
2023-01-24,44051.0,110127.5,154178.5,45145.4,116605.5,161750.9,104.91,2.583
2023-01-25,44075.2,110187.9,154263.0,44816.5,115230.2,160046.7,103.75,2.571
2023-01-26,44099.4,110248.6,154348.0,43766.2,107140.7,150906.9,97.77,2.448
2023-01-27,44123.8,110309.5,154433.3,46160.0,115259.9,161419.9,104.52,2.497
2023-01-28,44148.2,110370.5,154518.6,46370.4,117528.7,163899.1,106.07,2.535
2023-01-29,44172.6,110431.5,154604.0,42827.1,106347.4,149174.6,96.49,2.483
2023-01-30,44196.9,110492.4,154689.3,47229.0,117815.2,165044.2,106.69,2.495
2023-01-31,44221.2,110553.1,154774.3,45654.8,111376.1,157030.9,101.46,2.44
2023-02-01,44245.4,110613.5,154858.9,46612.1,111125.4,157737.5,101.86,2.384
2023-02-02,44269.4,110673.5,154942.9,45930.1,111620.1,157550.3,101.68,2.43
2023-02-03,44293.2,110733.0,155026.2,45900.6,121936.6,167837.3,108.26,2.657
2023-02-04,44316.8,110791.9,155108.7,46388.5,117023.3,163411.8,105.35,2.523
2023-02-05,44340.1,110850.1,155190.2,48907.8,119882.5,168790.4,108.76,2.451
2023-02-06,44363.0,110907.5,155270.5,44456.8,107914.0,152370.7,98.13,2.427
2023-02-07,44385.6,110963.9,155349.5,44265.6,107236.8,151502.4,97.52,2.423
2023-02-08,44407.7,111019.3,155427.1,45593.6,112894.3,158487.9,101.97,2.476
2023-02-09,44429.4,111073.6,155503.0,44931.7,106583.7,151515.4,97.44,2.372
