date,equipment_id,equipment_name,build_year,cycle_sec_per_truck,trucks_loaded,work_hours
2023-01-01,WK-10,10#电铲,2015,139.2,502,19.4
2023-01-01,WK-12,12#电铲,2018,120.7,566,19.0
2023-01-01,WK-15,15#电铲,2020,123.8,557,19.2
2023-01-01,WK-18,18#电铲,2022,119.5,558,18.5
2023-01-01,WK-20,20#电铲,2012,137.0,511,19.5
2023-01-01,WK-22,22#电铲,2019,122.3,615,20.9
2023-01-01,WK-25,25#电铲,2023,168.6,97,4.6
2023-01-01,WK-28,28#电铲,2016,139.0,495,19.1
2023-01-02,WK-10,10#电铲,2015,141.2,494,19.4
2023-01-02,WK-12,12#电铲,2018,123.5,553,19.0
2023-01-02,WK-15,15#电铲,2020,126.0,547,19.2
2023-01-02,WK-18,18#电铲,2022,118.4,563,18.5
2023-01-02,WK-20,20#电铲,2012,138.4,506,19.5
2023-01-02,WK-22,22#电铲,2019,122.3,615,20.9
2023-01-02,WK-25,25#电铲,2023,121.4,616,20.8
2023-01-02,WK-28,28#电铲,2016,136.1,505,19.1
2023-01-03,WK-10,10#电铲,2015,137.8,507,19.4
2023-01-03,WK-12,12#电铲,2018,124.5,549,19.0
2023-01-03,WK-15,15#电铲,2020,126.7,544,19.2
2023-01-03,WK-18,18#电铲,2022,122.3,546,18.5
2023-01-03,WK-20,20#电铲,2012,138.4,506,19.5
2023-01-03,WK-22,22#电铲,2019,121.5,619,20.9
2023-01-03,WK-25,25#电铲,2023,121.9,614,20.8
2023-01-03,WK-28,28#电铲,2016,135.4,508,19.1
2023-01-04,WK-10,10#电铲,2015,137.6,507,19.4
2023-01-04,WK-12,12#电铲,2018,125.2,545,19.0
2023-01-04,WK-15,15#电铲,2020,124.5,554,19.2
2023-01-04,WK-18,18#电铲,2022,125.8,530,18.5
2023-01-04,WK-20,20#电铲,2012,139.4,502,19.5
2023-01-04,WK-22,22#电铲,2019,120.1,626,20.9
2023-01-04,WK-25,25#电铲,2023,119.5,626,20.8
2023-01-04,WK-28,28#电铲,2016,136.3,505,19.1
2023-01-05,WK-10,10#电铲,2015,137.5,508,19.4
2023-01-05,WK-12,12#电铲,2018,127.1,537,19.0
2023-01-05,WK-15,15#电铲,2020,124.9,552,19.2
2023-01-05,WK-18,18#电铲,2022,119.5,558,18.5
2023-01-05,WK-20,20#电铲,2012,137.7,509,19.5
2023-01-05,WK-22,22#电铲,2019,124.3,605,20.9
2023-01-05,WK-25,25#电铲,2023,120.8,619,20.8
2023-01-05,WK-28,28#电铲,2016,134.6,511,19.1
2023-01-06,WK-10,10#电铲,2015,137.5,508,19.4
2023-01-06,WK-12,12#电铲,2018,120.2,568,19.0
2023-01-06,WK-15,15#电铲,2020,124.3,555,19.2
2023-01-06,WK-18,18#电铲,2022,119.0,561,18.5
2023-01-06,WK-20,20#电铲,2012,138.8,505,19.5
2023-01-06,WK-22,22#电铲,2019,123.9,607,20.9
2023-01-06,WK-25,25#电铲,2023,123.8,604,20.8
2023-01-06,WK-28,28#电铲,2016,139.9,491,19.1
2023-01-07,WK-10,10#电铲,2015,138.4,504,19.4
2023-01-07,WK-12,12#电铲,2018,120.1,569,19.0
2023-01-07,WK-15,15#电铲,2020,125.5,550,19.2
2023-01-07,WK-18,18#电铲,2022,120.5,553,18.5
2023-01-07,WK-20,20#电铲,2012,140.3,499,19.5
2023-01-07,WK-22,22#电铲,2019,123.7,608,20.9
2023-01-07,WK-25,25#电铲,2023,122.9,609,20.8
2023-01-07,WK-28,28#电铲,2016,136.1,505,19.1
2023-01-08,WK-10,10#电铲,2015,136.3,512,19.4
2023-01-08,WK-12,12#电铲,2018,122.4,558,19.0
2023-01-08,WK-15,15#电铲,2020,123.7,558,19.2
2023-01-08,WK-18,18#电铲,2022,120.0,556,18.5
2023-01-08,WK-20,20#电铲,2012,138.0,507,19.5
2023-01-08,WK-22,22#电铲,2019,120.9,622,20.9
2023-01-08,WK-25,25#电铲,2023,125.4,597,20.8
2023-01-08,WK-28,28#电铲,2016,136.7,503,19.1
2023-01-09,WK-10,10#电铲,2015,136.9,510,19.4
2023-01-09,WK-12,12#电铲,2018,123.9,551,19.0
2023-01-09,WK-15,15#电铲,2020,123.1,561,19.2
2023-01-09,WK-18,18#电铲,2022,117.1,570,18.5
2023-01-09,WK-20,20#电铲,2012,138.7,505,19.5
2023-01-09,WK-22,22#电铲,2019,123.0,611,20.9
2023-01-09,WK-25,25#电铲,2023,122.6,610,20.8
2023-01-09,WK-28,28#电铲,2016,138.9,495,19.1
2023-01-10,WK-10,10#电铲,2015,138.8,503,19.4
2023-01-10,WK-12,12#电铲,2018,126.6,539,19.0
2023-01-10,WK-15,15#电铲,2020,123.9,557,19.2
2023-01-10,WK-18,18#电铲,2022,114.7,582,18.5
