date,equipment_id,equipment_name,build_year,trips_per_shift,shifts_worked,payload_t,daily_haulage_t
2023-01-01,TR-01,01#矿车,2017,7.94,2,219.5,3487.6
2023-01-01,TR-02,02#矿车,2021,8.57,2,217.3,3722.5
2023-01-01,TR-03,03#矿车,2019,7.88,2,219.3,3457.4
2023-01-01,TR-04,04#矿车,2014,7.1,3,217.8,4640.6
2023-01-01,TR-05,05#矿车,2022,8.45,3,231.5,5869.7
2023-01-01,TR-06,06#矿车,2018,7.77,2,229.1,3561.9
2023-01-01,TR-07,07#矿车,2020,8.57,3,217.4,5588.7
2023-01-01,TR-08,08#矿车,2015,8.54,2,222.5,3801.4
2023-01-01,TR-09,09#矿车,2023,7.94,3,220.5,5251.1
2023-01-01,TR-10,10#矿车,2016,8.54,3,229.2,5873.4
2023-01-01,TR-11,11#矿车,2021,8.54,2,227.1,3876.1
2023-01-01,TR-12,12#矿车,2013,7.03,2,227.1,3194.2
2023-01-02,TR-01,01#矿车,2017,7.95,3,219.5,5232.8
2023-01-02,TR-02,02#矿车,2021,8.22,3,217.3,5357.9
2023-01-02,TR-03,03#矿车,2019,7.6,3,219.3,4997.1
2023-01-02,TR-04,04#矿车,2014,7.48,3,217.8,4884.3
2023-01-02,TR-05,05#矿车,2022,8.8,3,231.5,6113.8
2023-01-02,TR-06,06#矿车,2018,8.32,3,229.1,5716.0
2023-01-02,TR-07,07#矿车,2020,8.33,3,217.4,5428.6
2023-01-02,TR-08,08#矿车,2015,8.52,3,222.5,5690.1
2023-01-02,TR-09,09#矿车,2023,7.84,2,220.5,3458.6
2023-01-02,TR-10,10#矿车,2016,8.06,2,229.2,3693.3
2023-01-02,TR-11,11#矿车,2021,8.58,3,227.1,5845.7
2023-01-02,TR-12,12#矿车,2013,6.8,3,227.1,4634.3
2023-01-03,TR-01,01#矿车,2017,8.23,3,219.5,5419.4
2023-01-03,TR-02,02#矿车,2021,8.33,2,217.3,3622.1
2023-01-03,TR-03,03#矿车,2019,7.99,3,219.3,5256.5
2023-01-03,TR-04,04#矿车,2014,7.47,3,217.8,4882.9
2023-01-03,TR-05,05#矿车,2022,8.62,3,231.5,5988.6
2023-01-03,TR-06,06#矿车,2018,8.05,3,229.1,5535.1
2023-01-03,TR-07,07#矿车,2020,8.74,3,217.4,5695.9
2023-01-03,TR-08,08#矿车,2015,8.35,3,222.5,5575.2
2023-01-03,TR-09,09#矿车,2023,8.08,3,220.5,5342.8
2023-01-03,TR-10,10#矿车,2016,8.57,3,229.2,5892.8
2023-01-03,TR-11,11#矿车,2021,8.76,2,227.1,3977.3
2023-01-03,TR-12,12#矿车,2013,6.78,3,227.1,4617.0
2023-01-04,TR-01,01#矿车,2017,7.81,2,219.5,3430.3
2023-01-04,TR-02,02#矿车,2021,7.7,2,217.3,3346.3
2023-01-04,TR-03,03#矿车,2019,8.22,3,219.3,5405.6
2023-01-04,TR-04,04#矿车,2014,7.13,2,217.8,3105.4
2023-01-04,TR-05,05#矿车,2022,8.11,2,231.5,3754.9
2023-01-04,TR-06,06#矿车,2018,8.14,3,229.1,5593.7
2023-01-04,TR-07,07#矿车,2020,9.18,2,217.4,3989.8
2023-01-04,TR-08,08#矿车,2015,8.34,3,222.5,5567.9
2023-01-04,TR-09,09#矿车,2023,8.09,2,220.5,3568.0
2023-01-04,TR-10,10#矿车,2016,8.94,2,229.2,4097.3
2023-01-04,TR-11,11#矿车,2021,8.91,3,227.1,6066.5
2023-01-04,TR-12,12#矿车,2013,6.42,3,227.1,4374.6
2023-01-05,TR-01,01#矿车,2017,7.34,3,219.5,4836.2
2023-01-05,TR-02,02#矿车,2021,8.1,3,217.3,5277.7
