blast_id,date,bench,rock_type,hole_depth_m,burden_m,explosive_kg,rock_volume_m3,explosive_consumption,fragmentation_rate
BL-0001,2024-01-02,1055m,大理岩,13.9,4.1,4017.0,12335.0,0.326,55.2
BL-0002,2024-01-02,1055m,片麻岩,14.2,4.3,9734.0,14946.0,0.651,81.9
BL-0003,2024-01-03,1010m,砂岩,18.0,4.3,7313.0,13175.0,0.555,99.0
BL-0004,2024-01-06,1025m,砂岩,15.7,5.5,19233.0,25837.0,0.744,63.3
BL-0005,2024-01-09,1040m,砂岩,15.1,3.9,9111.0,11513.0,0.791,61.2
BL-0006,2024-01-20,1070m,大理岩,15.7,4.2,7944.0,19675.0,0.404,67.7
BL-0007,2024-01-23,1025m,砂岩,13.6,3.6,11422.0,14604.0,0.782,62.1
BL-0008,2024-01-29,1070m,砂岩,16.4,4.1,12781.0,23862.0,0.536,99.0
BL-0009,2024-02-02,1040m,片麻岩,16.1,4.6,9980.0,16036.0,0.622,85.5
BL-0010,2024-02-04,1040m,大理岩,15.8,4.2,10521.0,26588.0,0.396,65.4
BL-0011,2024-02-04,1055m,片麻岩,14.4,5.1,16676.0,25472.0,0.655,72.0
BL-0012,2024-02-07,1025m,片麻岩,14.3,4.3,9326.0,13590.0,0.686,66.9
BL-0013,2024-02-07,1040m,大理岩,15.9,4.5,12073.0,15615.0,0.773,56.3
BL-0014,2024-02-08,1040m,花岗岩,12.3,4.7,15291.0,24755.0,0.618,85.6
BL-0015,2024-02-10,1055m,花岗岩,13.6,4.4,8770.0,12012.0,0.73,57.1
BL-0016,2024-02-10,1055m,砂岩,15.2,4.5,7359.0,10286.0,0.715,64.0
BL-0017,2024-02-11,1040m,花岗岩,14.8,3.9,11444.0,24965.0,0.458,75.4
BL-0018,2024-02-14,1025m,花岗岩,15.8,3.5,7760.0,22532.0,0.344,56.0
BL-0019,2024-02-14,1025m,花岗岩,15.8,5.2,14759.0,23507.0,0.628,79.3
BL-0020,2024-02-15,1010m,花岗岩,13.8,4.2,5434.0,11380.0,0.478,80.0
BL-0021,2024-02-17,1010m,砂岩,16.4,3.9,9934.0,15515.0,0.64,80.4
BL-0022,2024-02-18,1055m,砂岩,16.8,4.1,8365.0,11107.0,0.753,60.1
BL-0023,2024-02-23,1025m,片麻岩,15.2,3.8,13360.0,17498.0,0.764,57.1
BL-0024,2024-02-26,1070m,片麻岩,14.9,3.6,5853.0,10508.0,0.557,98.9
BL-0025,2024-03-02,1025m,片麻岩,12.0,5.3,2934.0,8792.0,0.334,58.4
BL-0026,2024-03-09,1070m,花岗岩,17.2,3.9,4582.0,8614.0,0.532,88.8
BL-0027,2024-03-12,1070m,砂岩,13.8,4.2,10686.0,19085.0,0.56,99.0
BL-0028,2024-03-18,1070m,砂岩,17.3,4.1,11219.0,25872.0,0.434,74.9
BL-0029,2024-03-21,1055m,大理岩,17.5,5.3,4476.0,11816.0,0.379,61.3
BL-0030,2024-03-24,1010m,大理岩,15.7,3.8,18501.0,29670.0,0.624,86.2
BL-0031,2024-03-29,1010m,片麻岩,14.6,4.9,5842.0,14363.0,0.407,61.9
BL-0032,2024-03-29,1040m,花岗岩,15.5,3.6,11989.0,17865.0,0.671,71.2
BL-0033,2024-03-30,1055m,花岗岩,12.5,3.7,11639.0,17731.0,0.656,70.3
BL-0034,2024-04-01,1040m,花岗岩,13.4,4.1,5731.0,14804.0,0.387,58.8
BL-0035,2024-04-07,1025m,片麻岩,13.2,4.9,7776.0,20396.0,0.381,64.1
BL-0036,2024-04-12,1010m,片麻岩,13.8,5.5,19255.0,25826.0,0.746,58.2
BL-0037,2024-04-14,1010m,大理岩,17.2,4.7,10320.0,13546.0,0.762,56.7
BL-0038,2024-04-15,1055m,片麻岩,16.9,4.0,8461.0,14178.0,0.597,88.5
BL-0039,2024-04-16,1025m,大理岩,17.0,5.2,8503.0,12182.0,0.698,67.6
BL-0040,2024-04-18,1070m,片麻岩,14.5,5.0,8965.0,14086.0,0.636,79.3
BL-0041,2024-04-23,1025m,片麻岩,13.5,3.8,11565.0,20608.0,0.561,92.6
BL-0042,2024-04-28,1025m,大理岩,12.4,4.5,11119.0,23041.0,0.483,85.3
BL-0043,2024-04-29,1010m,片麻岩,13.6,3.9,6705.0,8753.0,0.766,56.6
BL-0044,2024-04-29,1070m,片麻岩,12.4,3.6,5205.0,10003.0,0.52,95.1
BL-0045,2024-05-03,1070m,片麻岩,15.2,3.8,20355.0,26839.0,0.758,55.0
BL-0046,2024-05-07,1070m,片麻岩,12.8,5.0,7096.0,12315.0,0.576,96.8
BL-0047,2024-05-12,1010m,花岗岩,14.0,5.3,14304.0,29352.0,0.487,88.9
BL-0048,2024-05-13,1040m,大理岩,16.3,4.1,4610.0,8542.0,0.54,95.2
BL-0049,2024-05-17,1070m,花岗岩,13.9,4.0,5503.0,10483.0,0.525,95.7
BL-0050,2024-05-19,1040m,片麻岩,17.9,3.6,12375.0,18697.0,0.662,73.6
BL-0051,2024-05-20,1070m,大理岩,15.4,3.5,7234.0,10892.0,0.664,73.4
BL-0052,2024-05-20,1040m,片麻岩,17.6,4.8,20674.0,26686.0,0.775,55.0
BL-0053,2024-05-23,1010m,花岗岩,13.4,4.7,10452.0,25672.0,0.407,64.2
BL-0054,2024-05-23,1040m,花岗岩,12.4,5.3,16625.0,22168.0,0.75,55.0
BL-0055,2024-05-26,1040m,花岗岩,16.1,3.6,16736.0,22133.0,0.756,55.8
BL-0056,2024-05-30,1070m,花岗岩,14.7,4.1,5122.0,14683.0,0.349,59.8
BL-0057,2024-05-31,1040m,片麻岩,16.0,4.6,7423.0,10256.0,0.724,62.5
BL-0058,2024-05-31,1025m,片麻岩,13.9,5.1,6407.0,17733.0,0.361,56.5
BL-0059,2024-06-01,1055m,大理岩,16.0,3.7,5025.0,13442.0,0.374,60.5
BL-0060,2024-06-01,1070m,大理岩,14.6,4.4,11608.0,23147.0,0.501,89.4
BL-0061,2024-06-01,1055m,片麻岩,15.8,5.0,14131.0,29563.0,0.478,81.3
BL-0062,2024-06-04,1040m,片麻岩,13.3,4.4,6484.0,15830.0,0.41,67.9
BL-0063,2024-06-06,1040m,花岗岩,13.7,5.4,12919.0,21575.0,0.599,83.5
BL-0064,2024-06-08,1055m,大理岩,15.1,5.1,9053.0,21429.0,0.422,70.8
BL-0065,2024-06-12,1040m,花岗岩,17.2,5.0,17893.0,26456.0,0.676,69.7
BL-0066,2024-06-15,1025m,大理岩,17.8,4.6,7703.0,11034.0,0.698,67.7
BL-0067,2024-06-16,1070m,大理岩,16.9,4.5,15673.0,19666.0,0.797,55.0
BL-0068,2024-06-18,1040m,花岗岩,13.5,5.4,6430.0,17070.0,0.377,59.1
BL-0069,2024-06-18,1025m,大理岩,16.7,5.4,10901.0,13745.0,0.793,56.2
BL-0070,2024-06-20,1025m,花岗岩,16.6,5.4,18620.0,24150.0,0.771,55.0
BL-0071,2024-06-21,1040m,花岗岩,16.3,3.7,9616.0,22869.0,0.42,71.4
BL-0072,2024-06-25,1025m,花岗岩,13.5,5.4,16787.0,23619.0,0.711,62.1
BL-0073,2024-06-27,1070m,片麻岩,15.7,4.6,5723.0,8305.0,0.689,65.4
BL-0074,2024-07-02,1010m,砂岩,16.2,4.2,13714.0,25642.0,0.535,98.8
BL-0075,2024-07-05,1055m,花岗岩,17.4,4.5,5438.0,13566.0,0.401,63.6
BL-0076,2024-07-07,1070m,大理岩,16.5,4.1,9459.0,24126.0,0.392,66.8
BL-0077,2024-07-07,1040m,大理岩,14.3,5.0,8272.0,11863.0,0.697,68.0
BL-0078,2024-07-08,1025m,大理岩,14.7,4.4,8520.0,24834.0,0.343,56.3
BL-0079,2024-07-08,1025m,大理岩,13.8,4.7,15212.0,19449.0,0.782,63.0
BL-0080,2024-07-09,1010m,大理岩,15.9,5.5,7577.0,17831.0,0.425,72.6
BL-0081,2024-07-13,1055m,大理岩,14.9,4.7,8534.0,12001.0,0.711,58.3
BL-0082,2024-07-13,1040m,花岗岩,14.1,5.2,17618.0,28194.0,0.625,82.2
BL-0083,2024-07-16,1055m,大理岩,13.2,5.2,21807.0,28752.0,0.758,56.8
BL-0084,2024-07-17,1025m,片麻岩,15.7,4.3,14279.0,26846.0,0.532,98.5
