month,drilling_cost,blasting_cost,loading_cost,transport_cost
2024-01-01,2.46,3.37,2.66,5.38
2024-02-01,2.42,3.5,2.68,5.46
2024-03-01,2.53,3.35,2.71,5.49
2024-04-01,2.46,3.32,2.72,5.65
2024-05-01,2.5,3.42,2.86,5.63
2024-06-01,2.42,3.47,2.71,5.59
2024-07-01,2.56,3.36,2.68,5.37
2024-08-01,2.44,3.52,2.78,5.35
2024-09-01,2.47,3.46,2.67,5.2
2024-10-01,2.56,3.39,2.78,5.31
2024-11-01,2.54,3.48,2.87,5.47
2024-12-01,2.49,3.43,2.72,5.77
2025-01-01,2.4,3.15,2.76,5.69
2025-02-01,2.52,3.46,2.75,5.67
2025-03-01,2.53,3.3,2.84,5.78
2025-04-01,2.41,3.51,2.77,6.03
2025-05-01,2.54,3.38,2.88,5.8
2025-06-01,2.61,3.54,2.86,5.74
2025-07-01,2.43,3.52,2.88,6.36
2025-08-01,2.45,3.49,2.87,6.11
2025-09-01,2.5,3.46,2.94,6.04
2025-10-01,2.5,3.38,2.88,6.09
2025-11-01,2.59,3.43,2.95,6.44
2025-12-01,2.5,3.47,2.96,6.41
2026-01-01,2.54,3.55,2.84,6.14
2026-02-01,2.52,3.46,2.93,6.09
2026-03-01,2.62,3.45,2.83,6.14
2026-04-01,2.51,3.48,2.87,6.23
2026-05-01,2.6,3.6,2.94,6.08
2026-06-01,2.56,3.56,2.83,6.07
2026-07-01,2.59,3.6,2.96,5.85
2026-08-01,2.61,3.48,2.88,5.77
