date,loss_rate,dilution_rate,actual_grade,model_grade
2024-01-01,3.98,4.64,31.08,31.72
2024-01-02,4.38,6.19,30.68,31.28
2024-01-03,4.8,4.89,31.14,31.68
2024-01-04,4.15,5.83,31.34,31.64
2024-01-05,3.75,6.5,30.96,31.43
2024-01-06,3.89,5.36,30.56,31.29
2024-01-07,4.28,5.71,31.08,31.63
2024-01-08,4.55,5.97,29.84,30.96
2024-01-09,4.12,5.95,30.87,31.62
2024-01-10,4.78,5.73,29.96,30.81
2024-01-11,3.75,6.17,30.61,31.56
2024-01-12,4.0,5.38,30.53,31.69
2024-01-13,4.67,6.48,30.76,31.15
2024-01-14,4.69,5.0,30.21,31.51
2024-01-15,3.84,5.5,29.97,31.01
2024-01-16,5.1,5.86,30.19,31.12
2024-01-17,4.58,5.32,30.31,31.27
2024-01-18,4.43,6.58,30.48,30.99
2024-01-19,4.68,6.01,32.19,30.61
2024-01-20,4.47,5.72,30.91,31.18
2024-01-21,4.74,5.89,29.75,30.6
2024-01-22,4.59,5.86,30.3,31.13
2024-01-23,4.67,5.37,30.87,31.47
2024-01-24,4.42,5.2,30.29,31.24
2024-01-25,4.49,5.41,30.49,31.71
2024-01-26,4.2,5.83,30.85,31.57
2024-01-27,4.24,6.22,30.95,31.09
2024-01-28,4.82,6.88,31.08,31.2
2024-01-29,5.03,6.35,30.48,31.34
2024-01-30,4.72,6.01,30.64,31.3
2024-01-31,4.45,5.68,30.54,31.18
2024-02-01,4.92,5.73,29.87,30.94
2024-02-02,4.73,5.54,30.55,31.42
2024-02-03,4.09,4.77,29.94,30.72
2024-02-04,4.38,5.54,30.21,30.66
2024-02-05,4.81,6.14,30.1,31.16
2024-02-06,4.8,6.25,29.97,30.97
2024-02-07,4.6,6.43,30.3,30.51
2024-02-08,5.12,5.24,30.29,31.27
2024-02-09,3.8,5.61,30.03,30.7
2024-02-10,4.24,5.89,30.29,30.62
2024-02-11,4.49,4.97,30.01,31.21
2024-02-12,5.5,6.02,30.64,31.04
2024-02-13,4.7,5.59,31.16,31.21
2024-02-14,4.38,6.84,30.16,30.96
2024-02-15,4.24,6.38,30.27,31.26
2024-02-16,5.23,6.25,29.94,31.03
2024-02-17,4.66,5.14,30.25,31.13
2024-02-18,4.64,5.91,30.14,31.12
2024-02-19,4.54,5.64,30.47,30.95
2024-02-20,4.53,5.47,30.13,30.88
2024-02-21,4.22,6.38,30.41,30.83
2024-02-22,4.47,6.19,30.11,30.84
2024-02-23,5.0,5.42,30.19,30.66
2024-02-24,4.94,6.7,31.01,31.23
2024-02-25,5.3,5.46,30.14,30.81
2024-02-26,4.85,5.5,30.4,30.66
2024-02-27,4.28,6.46,30.12,30.71
2024-02-28,4.38,5.55,29.85,30.55
2024-02-29,4.49,5.72,29.8,30.71
2024-03-01,4.83,4.6,29.87,30.79
2024-03-02,4.62,5.9,30.25,30.77
2024-03-03,3.97,5.53,30.39,30.85
2024-03-04,4.53,6.28,30.11,31.08
2024-03-05,5.0,6.56,30.14,30.89
2024-03-06,5.29,5.73,30.12,30.83
2024-03-07,5.08,6.05,29.72,31.02
2024-03-08,5.12,6.56,29.95,30.59
2024-03-09,5.15,6.02,30.13,30.66
2024-03-10,5.06,6.09,29.47,30.59
2024-03-11,5.22,5.95,29.46,30.08
2024-03-12,4.29,6.1,29.54,30.76
2024-03-13,5.71,5.63,30.15,30.39
2024-03-14,5.29,5.05,29.97,30.77
2024-03-15,5.02,5.83,29.54,30.61
2024-03-16,5.08,5.28,30.22,30.55
2024-03-17,5.13,6.53,30.07,30.61
2024-03-18,4.81,5.64,30.12,30.78
2024-03-19,5.14,6.15,30.32,30.84
2024-03-20,5.4,6.02,30.17,30.55
2024-03-21,5.43,5.95,30.12,30.88
2024-03-22,4.76,5.55,30.18,30.95
2024-03-23,4.33,5.53,28.0,30.82
2024-03-24,4.56,5.32,29.76,30.67
2024-03-25,4.58,5.34,30.45,30.67
2024-03-26,4.37,6.17,29.71,30.57
2024-03-27,4.79,5.97,30.02,30.97
2024-03-28,5.57,5.41,29.46,30.62
2024-03-29,4.68,5.94,29.69,30.61
2024-03-30,4.59,4.81,30.92,31.6
2024-03-31,4.63,5.55,30.3,30.7
2024-04-01,4.85,5.37,30.5,30.63
2024-04-02,4.7,5.84,29.68,30.36
2024-04-03,4.91,5.68,31.08,31.09
2024-04-04,5.06,6.29,29.9,30.46
2024-04-05,5.1,5.68,29.99,30.62
2024-04-06,4.49,4.67,30.15,30.83
2024-04-07,4.69,5.62,29.93,30.56
2024-04-08,5.17,5.24,29.79,30.17
2024-04-09,4.54,6.65,29.43,30.14
2024-04-10,4.5,5.27,29.28,30.2
2024-04-11,4.74,5.72,29.79,30.53
2024-04-12,4.72,5.52,29.58,30.41
2024-04-13,4.52,4.62,29.42,30.09
2024-04-14,5.61,6.01,30.11,30.44
2024-04-15,4.07,6.06,29.89,30.39
2024-04-16,5.45,5.25,29.06,29.64
2024-04-17,5.13,5.81,30.64,30.74
2024-04-18,5.32,5.43,29.6,30.34
2024-04-19,4.03,4.65,28.89,29.63
2024-04-20,5.3,4.25,29.74,30.29
2024-04-21,4.75,5.31,29.56,30.56
2024-04-22,5.61,5.64,29.63,30.33
2024-04-23,4.94,6.03,29.39,30.28
2024-04-24,4.65,5.35,29.54,30.3
2024-04-25,5.12,5.61,29.76,30.5
2024-04-26,4.63,5.54,29.84,30.21
