date,ore_volume,rock_volume,total_volume,plan_volume
2024-01-01,29921.0,53248.0,83169.0,79264.0
2024-01-02,26965.0,47838.0,74803.0,79264.0
2024-01-03,30906.0,49600.0,80506.0,79264.0
2024-01-04,31327.0,51178.0,82505.0,79264.0
2024-01-05,24969.0,48730.0,73699.0,79264.0
2024-01-06,26399.0,48773.0,75172.0,79264.0
2024-01-07,27549.0,48413.0,75962.0,79264.0
2024-01-08,28575.0,48064.0,76639.0,79264.0
2024-01-09,29238.0,45526.0,74764.0,79264.0
2024-01-10,27402.0,46730.0,74132.0,79264.0
2024-01-11,31218.0,50722.0,81940.0,79264.0
2024-01-12,30998.0,48334.0,79332.0,79264.0
2024-01-13,29437.0,49625.0,79062.0,79264.0
2024-01-14,29777.0,47888.0,77665.0,79264.0
2024-01-15,30330.0,46928.0,77258.0,79264.0
2024-01-16,27417.0,51237.0,78654.0,79264.0
2024-01-17,30124.0,49814.0,79938.0,79264.0
2024-01-18,27209.0,43695.0,70904.0,79264.0
2024-01-19,31257.0,53880.0,85137.0,79264.0
2024-01-20,29221.0,46509.0,75730.0,79264.0
2024-01-21,26930.0,39136.0,66066.0,79264.0
2024-01-22,20106.0,32108.0,52214.0,79264.0
2024-01-23,32040.0,44574.0,76614.0,79264.0
2024-01-24,29017.0,48667.0,77684.0,79264.0
2024-01-25,28422.0,47444.0,75866.0,79264.0
2024-01-26,28597.0,47220.0,75817.0,79264.0
2024-01-27,30550.0,50871.0,81421.0,79264.0
2024-01-28,28191.0,46825.0,75016.0,79264.0
2024-01-29,30303.0,49751.0,80054.0,79264.0
2024-01-30,30351.0,50125.0,80476.0,79264.0
2024-01-31,34123.0,50927.0,85050.0,79264.0
2024-02-01,28526.0,40594.0,69120.0,80343.0
2024-02-02,28302.0,47239.0,75541.0,80343.0
2024-02-03,27647.0,40358.0,68005.0,80343.0
2024-02-04,28802.0,45800.0,74602.0,80343.0
2024-02-05,31939.0,48665.0,80604.0,80343.0
2024-02-06,29214.0,52677.0,81891.0,80343.0
2024-02-07,27626.0,53238.0,80864.0,80343.0
2024-02-08,27671.0,49517.0,77188.0,80343.0
2024-02-09,30926.0,46867.0,77793.0,80343.0
2024-02-10,31140.0,50634.0,81774.0,80343.0
2024-02-11,28710.0,43807.0,72517.0,80343.0
2024-02-12,28061.0,48831.0,76892.0,80343.0
2024-02-13,30047.0,52607.0,82654.0,80343.0
2024-02-14,29803.0,46764.0,76567.0,80343.0
2024-02-15,30039.0,51969.0,82008.0,80343.0
2024-02-16,31486.0,51506.0,82992.0,80343.0
2024-02-17,30072.0,45328.0,75400.0,80343.0
2024-02-18,29085.0,49682.0,78767.0,80343.0
2024-02-19,29751.0,51662.0,81413.0,80343.0
2024-02-20,30250.0,49420.0,79670.0,80343.0
2024-02-21,31015.0,46162.0,77177.0,80343.0
2024-02-22,26432.0,45821.0,72253.0,80343.0
2024-02-23,28947.0,47069.0,76016.0,80343.0
2024-02-24,28628.0,51201.0,79829.0,80343.0
2024-02-25,26269.0,42536.0,68805.0,80343.0
2024-02-26,29082.0,50857.0,79939.0,80343.0
2024-02-27,32988.0,44504.0,77492.0,80343.0
2024-02-28,27807.0,48475.0,76282.0,80343.0
2024-02-29,31855.0,49696.0,81551.0,80343.0
2024-03-01,26036.0,58599.0,84635.0,78819.0
2024-03-02,29014.0,44103.0,73117.0,78819.0
2024-03-03,28122.0,51960.0,80082.0,78819.0
2024-03-04,31067.0,49965.0,81032.0,78819.0
2024-03-05,31355.0,50988.0,82343.0,78819.0
2024-03-06,31549.0,49905.0,81454.0,78819.0
2024-03-07,29050.0,51175.0,80225.0,78819.0
2024-03-08,28814.0,48931.0,77745.0,78819.0
2024-03-09,31732.0,55071.0,86803.0,78819.0
2024-03-10,27437.0,44842.0,72279.0,78819.0
2024-03-11,27066.0,53910.0,80976.0,78819.0
2024-03-12,27393.0,47190.0,74583.0,78819.0
2024-03-13,27877.0,49441.0,77318.0,78819.0
2024-03-14,31008.0,45628.0,76636.0,78819.0
2024-03-15,30241.0,51462.0,81703.0,78819.0
2024-03-16,31461.0,55256.0,86717.0,78819.0
2024-03-17,27016.0,46502.0,73518.0,78819.0
2024-03-18,30319.0,49079.0,79398.0,78819.0
2024-03-19,31361.0,45624.0,76985.0,78819.0
2024-03-20,29318.0,49020.0,78338.0,78819.0
2024-03-21,31018.0,43871.0,74889.0,78819.0
2024-03-22,28572.0,46487.0,75059.0,78819.0
2024-03-23,29243.0,50850.0,80093.0,78819.0
2024-03-24,27217.0,52033.0,79250.0,78819.0
2024-03-25,27440.0,60728.0,88168.0,78819.0
2024-03-26,31157.0,47856.0,79013.0,78819.0
2024-03-27,29067.0,55572.0,84639.0,78819.0
2024-03-28,30142.0,51077.0,81219.0,78819.0
2024-03-29,31187.0,49608.0,80795.0,78819.0
2024-03-30,31126.0,51859.0,82985.0,78819.0
2024-03-31,29622.0,47483.0,77105.0,78819.0
2024-04-01,29956.0,50700.0,80656.0,80283.0
2024-04-02,29256.0,48761.0,78017.0,80283.0
2024-04-03,30026.0,45033.0,75059.0,80283.0
2024-04-04,26504.0,44512.0,71016.0,80283.0
2024-04-05,14920.0,29177.0,44097.0,80283.0
2024-04-06,27335.0,49391.0,76726.0,80283.0
2024-04-07,26065.0,45210.0,71275.0,80283.0
2024-04-08,12535.0,20335.0,32870.0,80283.0
2024-04-09,28296.0,53560.0,81856.0,80283.0
2024-04-10,29470.0,51256.0,80726.0,80283.0
2024-04-11,33175.0,48110.0,81285.0,80283.0
2024-04-12,29547.0,55295.0,84842.0,80283.0
2024-04-13,31968.0,56667.0,88635.0,80283.0
2024-04-14,26305.0,49577.0,75882.0,80283.0
2024-04-15,29921.0,54430.0,84351.0,80283.0
2024-04-16,28297.0,55480.0,83777.0,80283.0
2024-04-17,29655.0,55087.0,84742.0,80283.0
2024-04-18,32264.0,53157.0,85421.0,80283.0
2024-04-19,26629.0,53128.0,79757.0,80283.0
2024-04-20,31398.0,52859.0,84257.0,80283.0
2024-04-21,28979.0,43745.0,72724.0,80283.0
2024-04-22,29163.0,53608.0,82771.0,80283.0
2024-04-23,27302.0,45823.0,73125.0,80283.0
2024-04-24,30655.0,47986.0,78641.0,80283.0
2024-04-25,29345.0,55989.0,85334.0,80283.0
2024-04-26,31035.0,54257.0,85292.0,80283.0
2024-04-27,30584.0,56746.0,87330.0,80283.0
2024-04-28,32073.0,47090.0,79163.0,80283.0
2024-04-29,30035.0,46773.0,76808.0,80283.0
2024-04-30,28323.0,50266.0,78589.0,80283.0
2024-05-01,30982.0,51596.0,82578.0,80001.0
2024-05-02,31084.0,51536.0,82620.0,80001.0
2024-05-03,33603.0,55572.0,89175.0,80001.0
2024-05-04,32462.0,49918.0,82380.0,80001.0
2024-05-05,29422.0,49656.0,79078.0,80001.0
2024-05-06,33868.0,47588.0,81456.0,80001.0
2024-05-07,28046.0,53083.0,81129.0,80001.0
2024-05-08,29265.0,51409.0,80674.0,80001.0
2024-05-09,28646.0,48574.0,77220.0,80001.0
2024-05-10,29838.0,50553.0,80391.0,80001.0
2024-05-11,27679.0,50774.0,78453.0,80001.0
2024-05-12,30116.0,47472.0,77588.0,80001.0
2024-05-13,30241.0,58255.0,88496.0,80001.0
2024-05-14,27505.0,51173.0,78678.0,80001.0
2024-05-15,28517.0,50645.0,79162.0,80001.0
2024-05-16,31452.0,43624.0,75076.0,80001.0
2024-05-17,32616.0,48220.0,80836.0,80001.0
2024-05-18,35175.0,50641.0,85816.0,80001.0
2024-05-19,35203.0,46056.0,81259.0,80001.0
2024-05-20,31714.0,56935.0,88649.0,80001.0
2024-05-21,28635.0,51079.0,79714.0,80001.0
2024-05-22,26131.0,56623.0,82754.0,80001.0
2024-05-23,31420.0,51982.0,83402.0,80001.0
2024-05-24,29052.0,51909.0,80961.0,80001.0
2024-05-25,29936.0,51450.0,81386.0,80001.0
2024-05-26,27512.0,48822.0,76334.0,80001.0
2024-05-27,30558.0,58358.0,88916.0,80001.0
2024-05-28,33221.0,43030.0,76251.0,80001.0
2024-05-29,31230.0,44257.0,75487.0,80001.0
2024-05-30,30543.0,49816.0,80359.0,80001.0
2024-05-31,28622.0,51953.0,80575.0,80001.0
2024-06-01,27224.0,54537.0,81761.0,80954.0
2024-06-02,27846.0,50728.0,78574.0,80954.0
2024-06-03,30805.0,50486.0,81291.0,80954.0
2024-06-04,34819.0,55834.0,90653.0,80954.0
2024-06-05,31224.0,55891.0,87115.0,80954.0
2024-06-06,33106.0,52690.0,85796.0,80954.0
2024-06-07,29852.0,55663.0,85515.0,80954.0
2024-06-08,28350.0,53054.0,81404.0,80954.0
2024-06-09,26839.0,46898.0,73737.0,80954.0
2024-06-10,29373.0,54696.0,84069.0,80954.0
2024-06-11,35657.0,52476.0,88133.0,80954.0
2024-06-12,29173.0,52072.0,81245.0,80954.0
2024-06-13,32830.0,57676.0,90506.0,80954.0
2024-06-14,29004.0,42776.0,71780.0,80954.0
2024-06-15,33045.0,46712.0,79757.0,80954.0
