date,shift,shovel_id,avg_loading_time_sec,trucks_loaded,ore_volume_t
2024-01-01,早班,ES-01,118.7,91,2566.0
2024-01-01,早班,ES-02,110.2,96,2781.0
2024-01-01,早班,ES-03,111.0,78,2219.0
2024-01-01,早班,ES-04,168.0,113,3689.0
2024-01-01,早班,ES-05,124.0,103,3278.0
2024-01-01,早班,ES-08,124.0,110,3591.0
2024-01-01,中班,ES-01,131.3,64,2002.0
2024-01-01,中班,ES-02,123.8,120,3874.0
2024-01-01,中班,ES-03,112.2,103,3115.0
2024-01-01,中班,ES-04,181.1,96,2818.0
2024-01-01,中班,ES-06,133.2,80,2343.0
2024-01-01,中班,ES-07,151.5,85,2556.0
2024-01-01,夜班,ES-01,137.7,100,3219.0
2024-01-01,夜班,ES-02,128.1,100,3092.0
2024-01-01,夜班,ES-03,107.9,102,3224.0
2024-01-01,夜班,ES-04,169.7,88,2689.0
2024-01-01,夜班,ES-05,133.6,75,2436.0
2024-01-01,夜班,ES-06,131.5,107,3233.0
2024-01-01,夜班,ES-07,142.4,105,3398.0
2024-01-01,夜班,ES-08,128.1,145,4734.0
2024-01-02,早班,ES-02,119.3,89,2577.0
2024-01-02,早班,ES-04,181.1,105,3283.0
2024-01-02,早班,ES-05,129.6,76,2412.0
2024-01-02,早班,ES-07,146.2,104,3066.0
2024-01-02,早班,ES-08,115.3,98,2841.0
2024-01-02,中班,ES-01,119.1,80,2454.0
2024-01-02,中班,ES-02,126.8,114,3490.0
2024-01-02,中班,ES-05,124.3,112,3393.0
2024-01-02,中班,ES-06,121.9,95,2901.0
2024-01-02,中班,ES-07,138.0,81,2574.0
2024-01-02,夜班,ES-02,127.3,134,4186.0
2024-01-02,夜班,ES-03,101.9,123,3570.0
2024-01-02,夜班,ES-04,176.9,78,2298.0
2024-01-02,夜班,ES-06,117.6,103,2904.0
2024-01-02,夜班,ES-07,210.4,76,2415.0
2024-01-02,夜班,ES-08,104.2,73,2234.0
2024-01-03,早班,ES-01,127.6,52,1476.0
2024-01-03,早班,ES-02,124.5,109,3147.0
2024-01-03,早班,ES-03,95.8,102,2890.0
2024-01-03,早班,ES-04,184.5,39,1133.0
2024-01-03,早班,ES-05,123.4,117,3496.0
2024-01-03,早班,ES-07,153.6,107,3194.0
2024-01-03,早班,ES-08,110.6,115,3639.0
2024-01-03,中班,ES-01,128.3,141,4537.0
2024-01-03,中班,ES-02,123.6,78,2276.0
2024-01-03,中班,ES-03,113.5,129,3935.0
2024-01-03,中班,ES-05,134.3,119,3859.0
2024-01-03,中班,ES-06,131.7,102,3043.0
2024-01-03,中班,ES-07,153.3,115,3364.0
2024-01-03,中班,ES-08,127.4,121,3469.0
2024-01-03,夜班,ES-01,111.8,99,2776.0
2024-01-03,夜班,ES-02,126.7,110,3491.0
2024-01-03,夜班,ES-03,122.4,58,1627.0
2024-01-03,夜班,ES-04,169.5,82,2347.0
2024-01-03,夜班,ES-05,132.9,94,3051.0
2024-01-03,夜班,ES-07,151.1,116,3789.0
2024-01-03,夜班,ES-08,115.3,103,3135.0
2024-01-04,早班,ES-01,127.9,79,2580.0
2024-01-04,早班,ES-02,124.2,123,3998.0
2024-01-04,早班,ES-03,114.6,95,3020.0
2024-01-04,早班,ES-05,115.5,107,3508.0
2024-01-04,早班,ES-06,134.1,94,3101.0
2024-01-04,早班,ES-07,136.6,79,2438.0
2024-01-04,早班,ES-08,121.8,105,3285.0
2024-01-04,中班,ES-01,121.2,79,2252.0
2024-01-04,中班,ES-02,123.2,85,2418.0
2024-01-04,中班,ES-03,96.9,114,3530.0
2024-01-04,中班,ES-04,172.2,53,1676.0
2024-01-04,中班,ES-05,140.1,96,2781.0
2024-01-04,中班,ES-06,124.2,127,3623.0
2024-01-04,中班,ES-07,141.8,90,2881.0
2024-01-04,中班,ES-08,109.9,99,2797.0
2024-01-04,夜班,ES-03,102.8,109,3324.0
2024-01-04,夜班,ES-04,173.6,109,3203.0
2024-01-04,夜班,ES-05,132.1,87,2715.0
2024-01-04,夜班,ES-06,124.0,60,1750.0
2024-01-04,夜班,ES-08,113.8,81,2334.0
2024-01-05,早班,ES-01,124.3,86,2473.0
2024-01-05,早班,ES-05,111.5,108,3033.0
2024-01-05,早班,ES-07,151.6,93,2841.0
2024-01-05,早班,ES-08,130.1,94,3088.0
2024-01-05,中班,ES-01,125.1,114,3477.0
2024-01-05,中班,ES-02,108.5,117,3291.0
2024-01-05,中班,ES-03,118.6,116,3641.0
2024-01-05,中班,ES-04,180.1,89,2510.0
2024-01-05,中班,ES-05,129.5,97,2986.0
2024-01-05,中班,ES-06,140.3,64,2015.0
2024-01-05,中班,ES-08,199.4,129,3738.0
2024-01-05,夜班,ES-01,116.0,85,2572.0
2024-01-05,夜班,ES-02,128.0,91,2605.0
2024-01-05,夜班,ES-03,103.6,106,3468.0
2024-01-05,夜班,ES-05,125.2,94,2647.0
2024-01-05,夜班,ES-06,145.0,103,3065.0
2024-01-06,早班,ES-01,122.1,57,1652.0
2024-01-06,早班,ES-07,159.0,98,3019.0
2024-01-06,早班,ES-08,127.0,106,3231.0
2024-01-06,中班,ES-02,129.1,77,2237.0
2024-01-06,中班,ES-04,185.0,101,3264.0
2024-01-06,中班,ES-05,128.4,100,3132.0
2024-01-06,中班,ES-08,129.0,80,2611.0
2024-01-06,夜班,ES-01,103.7,85,2737.0
2024-01-06,夜班,ES-02,127.7,78,2498.0
