date,shift,truck_id,trips,avg_cycle_time_min,payload_t
2024-01-01,早班,TR-01,10.6,47.6,31.2
2024-01-01,早班,TR-02,8.2,61.1,31.3
2024-01-01,早班,TR-03,9.9,47.2,34.5
2024-01-01,早班,TR-04,8.8,54.5,29.6
2024-01-01,早班,TR-05,9.5,48.5,30.6
2024-01-01,早班,TR-07,10.7,46.8,27.9
2024-01-01,早班,TR-08,8.9,48.7,29.5
2024-01-01,早班,TR-10,12.3,33.3,31.5
2024-01-01,早班,TR-11,11.5,43.7,28.2
2024-01-01,早班,TR-12,8.7,57.2,31.0
2024-01-01,早班,TR-13,9.6,44.9,28.4
2024-01-01,早班,TR-14,10.1,48.5,31.1
2024-01-01,早班,TR-17,8.2,57.0,27.0
2024-01-01,早班,TR-18,8.6,53.6,28.8
2024-01-01,早班,TR-19,10.7,42.4,29.9
2024-01-01,早班,TR-20,12.3,41.2,24.4
2024-01-01,中班,TR-01,9.7,43.5,32.6
2024-01-01,中班,TR-02,10.6,42.8,29.8
2024-01-01,中班,TR-04,10.0,44.5,28.6
2024-01-01,中班,TR-05,9.1,53.0,31.4
2024-01-01,中班,TR-06,12.7,38.0,27.3
2024-01-01,中班,TR-07,12.5,38.2,29.9
2024-01-01,中班,TR-08,7.5,58.7,29.3
2024-01-01,中班,TR-09,12.7,35.6,29.8
2024-01-01,中班,TR-10,12.5,38.4,29.6
2024-01-01,中班,TR-11,9.8,46.8,29.8
2024-01-01,中班,TR-12,9.4,49.1,32.8
2024-01-01,中班,TR-13,10.5,49.1,27.5
2024-01-01,中班,TR-14,10.0,46.5,29.3
2024-01-01,中班,TR-15,10.6,49.5,28.7
2024-01-01,中班,TR-17,9.3,48.5,31.3
2024-01-01,中班,TR-18,11.4,42.7,31.9
2024-01-01,中班,TR-19,10.5,45.5,28.5
2024-01-01,中班,TR-20,10.6,44.4,32.8
2024-01-01,夜班,TR-01,13.0,39.3,30.3
2024-01-01,夜班,TR-02,8.6,55.0,32.3
2024-01-01,夜班,TR-03,9.0,52.0,28.2
2024-01-01,夜班,TR-04,9.8,50.2,29.3
2024-01-01,夜班,TR-05,9.4,52.1,31.5
2024-01-01,夜班,TR-06,11.9,39.8,30.5
